name,positive_ratings_ratio,price,Peak Viewers,Day,Total viewers,ratingstotal,release_date,Sequel,Charity_stream,tournament,FPS,MOBA
Half-Life,0.96187836,7.1900001,118201,6/19/2020,1304579,28855,11/8/1998,0,1,0,1,0
Team Fortress Classic,0.83978742,3.99,800009,11/18/2020,1202989,3951,4/1/1999,0,0,0,1,0
Half-Life: Opposing Force,0.94799566,3.99,146426,1/18/2020,967829,5538,11/1/1999,0,0,0,1,0
Ricochet,0.80127835,3.99,1131,11/19/2020,1222247,3442,11/1/2000,0,0,0,0,0
Counter-Strike,0.97388816,7.1900001,21837,6/17/2020,709304,127873,11/1/2000,0,0,0,1,0
Half-Life: Blue Shift,0.90099013,3.99,6879,3/20/2020,1637064,4242,6/1/2001,0,0,0,1,0
Half-Life 2: Deathmatch,0.88438374,3.99,709,12/17/2020,780131,6807,11/1/2004,1,0,0,1,0
Counter-Strike: Source,0.95636225,7.1900001,69605,4/20/2020,2538717,80137,11/1/2004,0,0,0,1,0
Half-Life 2,0.96560061,7.1900001,133304,6/19/2020,1304579,70321,11/16/2004,1,0,0,1,0
Sid Meier's Pirates!,0.93189836,5.9899998,5686,2/18/2020,915659,2834,7/11/2005,0,0,0,0,0
Half-Life 2: Lost Coast,0.85006613,0,1815,2/17/2020,744805,6803,10/27/2005,1,0,0,1,0
Half-Life 2: Episode One,0.93863499,5.79,9599,11/17/2020,800069,8425,6/1/2006,1,0,0,1,0
The Ship: Murder Party,0.85884869,0,12073,1/17/2020,811003,5611,7/11/2006,0,0,0,0,0
Psychonauts,0.94734412,6.9899998,176119,1/17/2020,811003,8660,10/11/2006,0,1,0,0,0
Sid Meier's Civilization: III Complete,0.86423063,2.99,294,1/15/2020,493468,2983,10/25/2006,1,0,0,0,0
Dark Messiah of Might & Magic,0.93279457,4.29,11218,9/18/2020,1132031,4702,10/25/2006,0,1,0,0,0
Total War: MEDIEVAL II ,0.94436783,0,19244,7/20/2020,1232340,10875,11/15/2006,0,0,0,0,0
Garry's Mod,0.9567728,6.9899998,96345,1/20/2020,1276009,380154,11/29/2006,0,0,0,0,0
FlatOut 2,0.94066769,5.9899998,25117,12/15/2020,543112,5781,12/21/2006,1,0,0,0,0
Hitman: Blood Money,0.93748999,9.29,126706,1/20/2020,811003,6255,3/15/2007,0,1,0,1,0
S.T.A.L.K.E.R.: Shadow of Chernobyl,0.95090014,9.9899998,18088,7/20/2020,1076453,11609,3/20/2007,0,1,0,1,0
Vampire: The Masquerade - Bloodlines,0.94450408,14.99,85228,1/20/2020,1357375,6523,3/22/2007,0,1,0,0,0
Deus Ex: Game of the Year Edition,0.94733649,4.9899998,111969,6/20/2020,1095466,6589,3/29/2007,0,1,0,1,0
Company of Heroes - Legacy Edition,0.93715632,0,14747,12/20/2020,1183198,5092,7/17/2007,0,0,0,1,0
Return to Castle Wolfenstein,0.91785717,3.99,3253,9/20/2020,534140,3360,8/3/2007,1,1,0,1,0
DOOM 3,0.87504154,0,29066,2/20/2020,593219,3009,8/3/2007,1,0,0,1,0
DOOM II,0.9325676,3.99,138836,1/19/2020,1276009,2699,8/3/2007,1,1,0,1,0
Ultimate Doom,0.93513376,3.99,144017,1/20/2020,1357375,3962,8/3/2007,0,1,0,1,0
QUAKE,0.95061731,3.99,179233,1/17/2020,811003,2754,8/3/2007,0,1,0,1,0
"Warhammer 40,000: Dawn of War II",0.88168001,14.99,1850,4/20/2020,743596,6381,8/7/2007,1,0,0,0,0
"Warhammer 40,000: Space Marine",0.90797603,19.99,11744,9/20/2020,1132031,10845,8/7/2007,0,0,0,0,0
Rome: Total War - Collection,0.93283939,8.9899998,1541,1/20/2020,1276009,8368,8/28/2007,0,0,0,0,0
Half-Life 2: Episode Two,0.95232224,5.79,7007,12/17/2020,780131,14598,10/10/2007,1,0,0,1,0
Portal,0.97957677,7.1900001,169494,7/17/2020,760689,52881,10/10/2007,0,1,0,0,0
Team Fortress 2,0.93810678,0,1304870,1/18/2020,967829,549915,10/10/2007,1,1,0,1,0
Call of Duty: 4: Modern Warfare:,0.91399539,19.99,33068,7/20/2020,599655,9546,11/12/2007,1,0,0,1,0
Max Payne,0.90025222,5.9899998,12018,7/20/2020,1076453,4361,1/4/2008,0,1,0,1,0
Grand Theft Auto III,0.86283833,5.9899998,142393,1/20/2020,618700,5468,1/4/2008,1,0,0,0,0
"Warhammer: 40,000: Dawn of War: - Dark Crusade",0.95539904,9.9899998,8055,7/20/2020,1076453,2982,3/7/2008,1,0,0,0,0
TrackMania Nations Forever,0.86899745,0,3753,1/20/2020,1357375,9496,4/16/2008,0,0,0,0,0
Oddworld: Abe's Oddysee:,0.86105001,1.99,6340,7/20/2020,599655,3181,8/28/2008,0,1,0,0,0
S.T.A.L.K.E.R.: Clear Sky,0.8600651,7.9899998,16286,2/20/2020,1311802,6453,9/15/2008,1,0,0,1,0
The Witcher: Enhanced Edition Director's Cut,0.862176,6.9899998,20502,1/20/2020,811003,30597,9/16/2008,0,0,0,0,0
Crysis,0.82630575,9.9899998,14349,6/20/2020,619838,7352,9/17/2008,0,1,0,1,0
Zombie Panic! Source,0.85212749,0,3756,2/20/2020,915659,6181,10/3/2008,0,0,0,1,0
World of Goo,0.93580717,6.9899998,8476,5/20/2020,593981,3692,10/13/2008,0,0,0,0,0
Bully: Scholarship Edition,0.82820415,9.9899998,23761,7/20/2020,1076453,10268,10/21/2008,0,0,0,0,0
Far Cry:,0.83576053,8.5900002,27783,5/20/2020,683590,3708,10/22/2008,0,0,0,1,0
Fallout 3,0.78551066,7.9899998,150137,7/20/2020,599655,12630,10/28/2008,1,0,0,1,0
Mount & Blade,0.91676199,7.9899998,3710,11/20/2020,1202989,3496,11/3/2008,0,0,0,0,0
Left 4 Dead,0.94983864,7.1900001,140433,1/17/2020,811003,18899,11/17/2008,0,1,0,1,0
Call of Duty:: Modern Warfare: 2,0.91392541,19.99,48777,11/20/2020,1222247,32832,11/18/2008,1,0,0,1,0
Defense Grid: The Awakening,0.96695906,6.9899998,605,9/20/2020,506181,3420,12/8/2008,0,0,0,0,0
SPORE,0.88232547,14.99,21104,1/20/2020,618700,17115,12/19/2008,0,0,0,0,0
Mass Effect,0.93817878,7.9899998,124983,1/20/2020,967829,10773,12/19/2008,0,1,0,1,0
Saints Row 2,0.76620954,9.9899998,3737,8/20/2020,1150353,12323,1/7/2009,1,0,0,1,0
Command & Conquer: Red Alert 3,0.83698761,9.9899998,140933,7/20/2020,1232340,5245,1/8/2009,1,1,0,1,0
Mirror's Edge,0.88422924,9.9899998,186567,1/20/2020,618700,20221,1/14/2009,0,1,0,0,0
F.E.A.R. 2: Project Origin,0.86545068,9.9899998,32587,12/20/2020,780131,3783,2/12/2009,1,0,0,0,0
"Warhammer: 40,000: Dawn of War: - Game of the Year Edition",0.94418859,9.9899998,4577,2/20/2020,744805,3691,2/18/2009,0,0,0,0,0
Burnout Paradise: The Ultimate Box,0.86753964,9.9899998,99995,1/20/2020,967829,11226,3/12/2009,1,1,0,0,0
Caster,0.79059106,0.99000001,1873,7/20/2020,760689,4145,3/19/2009,0,0,0,0,0
Braid,0.9441793,10.99,98983,7/20/2020,599655,6915,4/10/2009,0,1,0,0,0
Two Worlds Epic Edition,0.71571004,6.9899998,6768,7/16/2020,599655,3711,4/30/2009,0,1,0,0,0
Plants vs. Zombies GOTY Edition,0.96990186,4.25,7485,10/16/2020,608466,15084,5/5/2009,0,0,0,0,0
Killing Floor,0.95299774,14.99,27528,12/17/2020,780131,56359,5/14/2009,0,0,0,1,0
Prototype,0.80373424,14.99,5413,11/20/2020,1202989,4606,6/12/2009,0,0,0,0,0
The Elder Scrolls IV: Oblivion: Game of the Year Edition,0.94362926,12.99,144920,7/20/2020,599655,14653,6/16/2009,1,1,0,0,0
The Elder Scrolls III: Morrowind: Game of the Year Edition,0.94659281,12.99,146352,7/20/2020,599655,10111,6/16/2009,1,1,0,0,0
Trine Enchanted Edition,0.95870119,9.9899998,7242,7/20/2020,760689,9855,7/2/2009,0,0,0,0,0
STAR WARS Republic Commando,0.94402599,7.1900001,8354,12/20/2020,1183198,6771,7/8/2009,0,0,0,1,0
"Star Wars: Battlefront 2 (Classic, 2005)",0.92319632,7.1900001,15452,5/20/2020,1262560,31574,7/8/2009,1,0,0,0,0
Bad Rats: the Rats' Revenge,0.77829838,0.79000002,5406,7/20/2020,599655,13446,7/20/2009,0,0,0,0,0
Hearts of Iron III,0.76876456,7.9899998,1897,2/20/2020,593219,4290,8/7/2009,1,0,0,0,0
Fallout 2: A Post Nuclear Role Playing Game,0.93679857,7.9899998,18707,7/20/2020,1232340,5079,8/19/2009,1,0,0,0,0
STAR WARS - Knights of the Old Republic,0.87917018,7.1900001,103627,7/20/2020,599655,13159,9/5/2009,0,1,0,0,0
Resident Evil 5/ Biohazard 5:,0.85112256,13.99,24298,2/20/2020,744805,10868,9/15/2009,1,0,0,1,0
STAR WARS Jedi Knight - Jedi Academy,0.94512802,7.1900001,153791,1/20/2020,967829,6014,9/16/2009,0,1,0,0,0
Risen,0.8680352,7.9899998,3440,2/20/2020,593219,4433,10/2/2009,0,0,0,0,0
Machinarium,0.95369232,7.9899998,4893,1/20/2020,811003,5701,10/16/2009,0,0,0,0,0
Torchlight,0.92346692,10.99,3388,2/20/2020,1410516,4142,10/27/2009,0,0,0,0,0
Dragon Age: Origins,0.92988765,14.99,110048,1/20/2020,618700,6675,11/5/2009,0,0,0,0,0
Overlord,0.92570657,3.49,5542,2/20/2020,1410516,3715,11/12/2009,0,0,0,0,0
LEGO: Star Wars - The Complete Saga,0.9221648,15.49,30871,12/20/2020,1183198,3289,11/12/2009,0,0,0,0,0
Left 4 Dead 2,0.9676488,7.1900001,145489,1/17/2020,811003,260207,11/19/2009,1,1,0,1,0
Serious Sam HD: The First Encounter,0.93624079,10.99,8264,7/20/2020,599655,4219,11/24/2009,0,0,0,1,0
Gothic: 3,0.80271006,8.9899998,4289,11/20/2020,623095,3690,12/2/2009,1,0,0,0,0
Fallout 3: Game of the Year Edition,0.79785943,14.99,150137,7/20/2020,599655,22237,12/17/2009,1,0,0,1,0
Gothic 2,0.88912231,8.9899998,16698,6/20/2020,619838,4284,1/13/2010,1,0,0,0,0
Mass Effect 2,0.95168048,19.99,24686,2/20/2020,744805,11217,1/28/2010,1,0,0,1,0
S.T.A.L.K.E.R.: Call of Pripyat,0.95583534,12.99,33177,7/20/2020,599655,10642,2/11/2010,1,0,0,1,0
"Pirates, Vikings, and Knights II",0.86835557,0,2584,9/20/2020,534140,4421,2/12/2010,1,0,0,0,0
Aliens vs. Predator,0.88847095,9.9899998,4517,4/20/2020,1234112,10634,2/16/2010,0,0,0,0,0
Total War: NAPOLEON ,0.90399069,0,1380,2/20/2020,593219,9447,2/25/2010,0,0,0,0,0
Supreme Commander 2,0.85526526,8.9899998,180,7/20/2020,599655,6239,3/1/2010,1,0,0,0,0
Battlefield: Bad Company 2,0.85624766,14.99,877,4/20/2020,522493,26970,3/2/2010,1,0,0,1,0
Just Cause 2,0.91236067,9.9899998,823,11/20/2020,581150,36867,3/23/2010,1,0,0,1,0
Batman: Arkham Asylum Game of the Year Edition,0.95912486,14.99,125021,1/20/2020,967829,21162,3/26/2010,0,1,0,0,0
Mount & Blade: Warband,0.97165906,14.99,31119,12/20/2020,543112,78085,3/31/2010,1,0,0,0,0
Grand Theft Auto: Episodes from Liberty City,0.73187745,14.99,20370,1/20/2020,1357375,8746,4/12/2010,1,0,0,0,0
Beat Hazard,0.95048308,6.9899998,836,6/20/2020,709304,6624,4/15/2010,0,0,0,0,0
F.E.A.R.,0.93567336,35.959999,13852,4/20/2020,1234112,6809,5/21/2010,0,1,0,0,0
STAR WARS Empire at War - Gold Pack,0.9427911,15.49,13014,11/20/2020,1222247,6922,5/25/2010,0,0,0,0,0
Alpha Protocol,0.79861468,9.9899998,14372,1/20/2020,1276009,3898,5/27/2010,0,0,0,0,0
